Tarih,Başlık,Metin
"Thu, 29 Nov 2018 08:00:00 GMT","Küresel Piyasalar: Dolar Powell sonrası dalgalı, faizler düştü, hisseler yönsüz | Borsa haberleri - Bloomberght","Küresel Piyasalar: Dolar Powell sonrası dalgalı, faizler düştü, hisseler yönsüz | Borsa haberleri  Bloomberght"
"Thu, 02 Aug 2018 07:00:00 GMT",Taahhütlü İşlemler Pazarı faaliyete geçti - Bigpara,Taahhütlü İşlemler Pazarı faaliyete geçti  Bigpara
"Sun, 01 Apr 2018 07:00:00 GMT",Piyasalarda ay tutulması - Bigpara,Piyasalarda ay tutulması  Bigpara
"Thu, 15 Mar 2018 07:00:00 GMT",Ulusoy Elektrik’ten 10 milyonluk yatırım - Bigpara,Ulusoy Elektrik’ten 10 milyonluk yatırım  Bigpara
"Mon, 01 Jan 2018 08:00:00 GMT",2017`nin en çok değer kazanan ve kaybeden hisseleri - Uzmanpara,2017`nin en çok değer kazanan ve kaybeden hisseleri  Uzmanpara
"Fri, 18 May 2018 07:00:00 GMT","Şok Marketler, Borsa'da işlem görmeye başladı - Anadolu Ajansı","Şok Marketler, Borsa'da işlem görmeye başladı  Anadolu Ajansı"
"Tue, 13 Nov 2018 08:00:00 GMT",AKP'den TOBB teklifi: Seçilemeyen yöneticilere göreve dönüş yolu açılıyor - BBC,AKP'den TOBB teklifi: Seçilemeyen yöneticilere göreve dönüş yolu açılıyor  BBC
"Fri, 07 Dec 2018 08:00:00 GMT",Mehmet Osmanoğlu borsa dolandırıcılarıyla iş birliği mi yapıyor haberi - Borsanın Gündemi,Mehmet Osmanoğlu borsa dolandırıcılarıyla iş birliği mi yapıyor haberi  Borsanın Gündemi
"Fri, 13 Jul 2018 07:00:00 GMT",SPK'dan piyasa bozucu eylemlerle ilgili düzenleme - Anadolu Ajansı,SPK'dan piyasa bozucu eylemlerle ilgili düzenleme  Anadolu Ajansı
"Mon, 12 Mar 2018 07:00:00 GMT",Serbest piyasada döviz açılış fiyatları (12.03.2018) | Borsa haberleri - Bloomberght,Serbest piyasada döviz açılış fiyatları (12.03.2018) | Borsa haberleri  Bloomberght
"Fri, 01 Jun 2018 07:00:00 GMT",Borsa İstanbul Başkanı: İçimizde çok hain var - memurlar.net,Borsa İstanbul Başkanı: İçimizde çok hain var  memurlar.net
"Wed, 10 Jan 2018 08:00:00 GMT",BIST Başkanı: Halka arz için 10 şirket başvuru yaptı - Dünya Gazetesi,BIST Başkanı: Halka arz için 10 şirket başvuru yaptı  Dünya Gazetesi
"Thu, 16 Aug 2018 07:00:00 GMT","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Platin Dergisi","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı  Platin Dergisi"
"Wed, 15 Aug 2018 07:00:00 GMT",Borsa Başkanı Karadağ görevini bıraktı Halkbank’a geçti - NTV Haber,Borsa Başkanı Karadağ görevini bıraktı Halkbank’a geçti  NTV Haber
"Fri, 18 May 2018 07:00:00 GMT",Borsa İstanbul'da Gong Şok Marketler için çaldı - Sabah,Borsa İstanbul'da Gong Şok Marketler için çaldı  Sabah
"Fri, 07 Sep 2018 07:00:00 GMT",Ham Elmas Dış Ticaretinin Düzenlenmesine Ve Denetlenmesine Dair Karara İlişkin Tebliğ (Tebliğ No: 2006/1)’De Değişiklik Yapılmasına Dair Tebliğ - MuhasebeTR,Ham Elmas Dış Ticaretinin Düzenlenmesine Ve Denetlenmesine Dair Karara İlişkin Tebliğ (Tebliğ No: 2006/1)’De Değişiklik Yapılmasına Dair Tebliğ  MuhasebeTR
"Tue, 06 Mar 2018 08:00:00 GMT","Borsa Başkanı Yeşil, Mavi Liste ile Diyarbakır'da aday - Dünya Gazetesi","Borsa Başkanı Yeşil, Mavi Liste ile Diyarbakır'da aday  Dünya Gazetesi"
"Sat, 29 Dec 2018 08:00:00 GMT",Yılın son haftasında borsa ve döviz yatırımcısını üzdü - Dünya Gazetesi,Yılın son haftasında borsa ve döviz yatırımcısını üzdü  Dünya Gazetesi
"Thu, 26 Jul 2018 07:00:00 GMT",Galip Öztürk’ün elini sürdüğü hisseye tedbir geliyor haberi - Borsanın Gündemi,Galip Öztürk’ün elini sürdüğü hisseye tedbir geliyor haberi  Borsanın Gündemi
"Thu, 01 Feb 2018 08:00:00 GMT","Endeks, 21 yıl sonra yeniden 'sadeleşecek' - Dünya Gazetesi","Endeks, 21 yıl sonra yeniden 'sadeleşecek'  Dünya Gazetesi"
"Wed, 19 Dec 2018 08:00:00 GMT",Borsa Brüksel ile yapılan anlaşmayı kutluyor ve Wall Street Fed'i bekliyor - firstonline.info,Borsa Brüksel ile yapılan anlaşmayı kutluyor ve Wall Street Fed'i bekliyor  firstonline.info
"Tue, 15 May 2018 07:00:00 GMT","Gong, Re-pie Avrasya Fonu için çaldı - Bigpara","Gong, Re-pie Avrasya Fonu için çaldı  Bigpara"
"Wed, 02 May 2018 07:00:00 GMT",Borsa güne yükselişle başladı (2 Mayıs 2018) - CNN Türk,Borsa güne yükselişle başladı (2 Mayıs 2018)  CNN Türk
"Mon, 14 May 2018 07:00:00 GMT",Karadağ`dan Varlık Fonu hakkında önemli açıklama - Uzmanpara,Karadağ`dan Varlık Fonu hakkında önemli açıklama  Uzmanpara
"Wed, 14 Feb 2018 08:00:00 GMT","Hasan Peker, halka arz sonrasını Borsa Gündem’e anlattı haberi - Borsanın Gündemi","Hasan Peker, halka arz sonrasını Borsa Gündem’e anlattı haberi  Borsanın Gündemi"
"Fri, 08 Jun 2018 07:00:00 GMT",Son 10 yılda en fazla bedelli sermaye artışı yapan borsa şirketleri - Borsanın Gündemi,Son 10 yılda en fazla bedelli sermaye artışı yapan borsa şirketleri  Borsanın Gündemi
"Thu, 03 May 2018 07:00:00 GMT",Bimeks'in tahtası kapandı - Bigpara,Bimeks'in tahtası kapandı  Bigpara
"Tue, 25 Sep 2018 07:00:00 GMT",Borsa ilk yarıda yükseldi - Kanal23,Borsa ilk yarıda yükseldi  Kanal23
"Mon, 26 Feb 2018 08:00:00 GMT",Bilançoları açıklamadı! Aksel Holding borsadan atıldı! - Hürriyet,Bilançoları açıklamadı! Aksel Holding borsadan atıldı!  Hürriyet
