Date,Now,Open,High,Low,Volume,Diff %
17.10.2018,"959,93","962,56","965,79","950,26","1,32B","0,51%"
18.10.2018,"944,30","959,67","961,33","941,97","1,08B","-1,63%"
19.10.2018,"933,86","947,71","948,71","932,68","996,94M","-1,11%"
22.10.2018,"916,72","941,67","943,22","916,72","914,78M","-1,84%"
23.10.2018,"905,19","910,38","914,73","895,07","1,08B","-1,26%"
24.10.2018,"897,06","909,40","911,95","897,06","858,01M","-0,90%"
25.10.2018,"909,44","893,20","909,47","890,68","930,61M","1,38%"
26.10.2018,"877,07","911,39","911,80","877,07","881,24M","-3,56%"
30.10.2018,"871,07","880,51","885,14","856,72","1,09B","-0,68%"
31.10.2018,"873,73","875,84","890,10","864,96","1,16B","0,31%"
01.11.2018,"895,09","874,27","895,58","871,03","1,02B","2,44%"
02.11.2018,"912,71","901,36","917,28","897,24","1,35B","1,97%"
05.11.2018,"931,16","916,59","931,16","909,10","1,21B","2,02%"
06.11.2018,"918,65","933,03","934,04","912,98","1,18B","-1,34%"
07.11.2018,"926,68","917,85","932,22","913,80","1,12B","0,87%"
08.11.2018,"905,98","927,04","928,07","903,73","1,15B","-2,23%"
09.11.2018,"898,91","904,16","907,79","892,33","1,03B","-0,78%"
12.11.2018,"885,90","900,63","907,67","885,90","820,93M","-1,45%"
13.11.2018,"899,13","886,74","903,08","884,55","1,03B","1,49%"
14.11.2018,"905,53","897,13","909,77","891,85","1,20B","0,71%"
15.11.2018,"904,93","907,79","912,13","898,98","1,04B","-0,07%"
16.11.2018,"907,86","909,79","914,86","899,18","789,50M","0,32%"
19.11.2018,"917,34","907,18","917,71","907,18","940,51M","1,04%"
20.11.2018,"888,73","914,33","915,39","887,44","1,36B","-3,12%"
21.11.2018,"898,57","892,14","898,57","887,67","1,02B","1,11%"
22.11.2018,"897,87","898,96","901,06","890,75","725,71M","-0,08%"
23.11.2018,"902,01","897,33","902,01","892,36","652,68M","0,46%"
26.11.2018,"911,32","907,21","916,71","906,56","1,14B","1,03%"
27.11.2018,"905,35","910,77","912,72","900,99","1,03B","-0,66%"
28.11.2018,"910,73","907,97","916,54","907,97","962,31M","0,59%"
29.11.2018,"920,09","919,58","924,91","917,14","967,59M","1,03%"
30.11.2018,"923,35","920,25","923,35","914,93","1,27B","0,35%"
03.12.2018,"918,81","932,81","937,47","918,81","1,17B","-0,49%"
04.12.2018,"906,93","914,91","923,96","903,64","1,08B","-1,29%"
05.12.2018,"907,25","898,12","909,69","896,14","971,10M","0,04%"
06.12.2018,"895,73","902,52","905,86","891,37","796,81M","-1,27%"
07.12.2018,"905,04","902,61","906,10","899,35","746,41M","1,04%"
10.12.2018,"890,69","900,59","902,66","890,64","695,62M","-1,59%"
11.12.2018,"886,86","892,67","895,17","885,26","815,86M","-0,43%"
12.12.2018,"870,05","890,41","892,27","869,37","1,02B","-1,90%"
13.12.2018,"883,46","874,91","884,42","873,88","717,02M","1,54%"
14.12.2018,"875,14","880,46","882,09","863,92","766,19M","-0,94%"
17.12.2018,"871,04","875,98","880,26","869,66","537,67M","-0,47%"
18.12.2018,"882,59","868,31","882,59","867,14","722,31M","1,33%"
19.12.2018,"897,57","885,24","897,76","882,73","852,39M","1,70%"
20.12.2018,"890,45","890,40","895,85","885,31","803,25M","-0,79%"
21.12.2018,"890,49","889,52","894,08","881,06","806,08M","0,00%"
24.12.2018,"886,69","892,99","896,09","886,60","482,68M","-0,43%"
25.12.2018,"879,59","881,22","883,64","876,50","287,94M","-0,80%"
26.12.2018,"881,76","882,54","885,29","878,30","241,79M","0,25%"
27.12.2018,"882,36","889,70","890,90","879,68","475,36M","0,07%"
28.12.2018,"876,93","884,41","887,68","873,77","453,98M","-0,62%"
31.12.2018,"884,65","879,48","885,38","875,27","333,20M","0,88%"
